Date,Open,High,Low,Close,Volume
2016-01-04,157.038,157.49,155.581,157.48,4908005.6111722
2016-01-05,157.71,158.16,156.724,157.767,3373595.0233066
2016-01-06,155.458,156.674,154.806,155.754,3224499.3374418
2016-01-07,153.052,154.642,151.681,151.977,5662632.7430585
2016-01-08,152.877,153.407,150.061,150.338,8610085.999642
2016-01-11,151.267,151.507,148.717,150.348,5258908.948749
2016-01-12,151.881,152.39,149.765,151.633,3508737.1121959
2016-01-13,152.448,152.62,147.578,147.922,4828075.9944064
2016-01-14,148.478,151.403,147.003,150.29,5947134.4427554
2016-01-15,146.292,147.874,145.344,147.107,9464981.6597949
2016-01-19,147.252,147.252,147.252,147.252,6862292.6171188
2016-01-20,144.863,146.829,141.797,145.534,10038320.521885
2016-01-21,145.969,147.952,144.663,146.253,3514716.6290816
2016-01-22,148.687,149.418,147.98,149.245,3054499.3356536
2016-01-25,148.747,148.967,146.789,146.946,3226325.9484095
2016-01-26,147.69,149.245,147.282,149.015,2649353.684834
2016-01-27,148.577,150.032,146.512,147.301,4146477.8330542
2016-01-28,148.777,148.976,146.639,148.114,3062288.7726015
2016-01-29,148.967,151.881,148.737,151.881,5211770.7021481
2016-02-01,150.904,152.408,150.28,151.746,4588875.4985265
2016-02-02,150.251,150.434,148.488,148.986,5970303.5059153
2016-02-03,149.926,150.205,146.571,149.857,4526636.155199
2016-02-04,149.487,150.981,148.871,150.032,4169132.6076891
2016-02-05,149.561,149.696,146.639,147.232,2776129.4573549
2016-02-08,145.517,145.793,143.224,145.189,3981649.9255994
2016-02-09,143.713,146.427,143.533,145.239,2762915.4761281
2016-02-10,146.083,147.521,144.989,145.133,2285640.0773066
2016-02-11,142.9,144.174,141.874,143.293,4022352.7849587
2016-02-12,144.816,146.245,144.155,146.245,2107193.4341674
2016-02-16,148,148.668,146.993,148.668,2763234.6896953
2016-02-17,149.802,151.45,149.636,151.124,2650910.1117693
2016-02-18,151.422,151.441,150.195,150.452,1926618.7005803
2016-02-19,149.774,150.54,149.236,150.416,1330616.7184022
2016-02-22,151.911,152.724,151.861,152.581,3046490.8305713
2016-02-23,152.026,152.256,150.559,150.673,2429001.3939598
2016-02-24,149.349,151.633,148.327,151.403,3042755.1972901
2016-02-25,151.853,153.194,151.095,153.194,2979835.6995644
2016-02-26,153.972,154.115,152.715,152.886,2997076.3617366
2016-02-29,152.86,153.76,151.565,151.565,3658406.5479364
2016-03-01,152.803,155.304,152.36,155.304,3558955.8740381
2016-03-02,154.969,155.947,154.565,155.927,4493408.7351284
2016-03-03,155.734,156.541,155.257,156.504,3688066.286962
2016-03-04,156.742,157.787,155.956,157.048,3301475.7071206
2016-03-07,156.225,157.547,156.127,157.24,4037018.8749617
2016-03-08,156.205,156.626,155.332,155.448,3961001.189166
2016-03-09,156.225,156.531,155.514,156.264,1920686.1268662
2016-03-10,156.674,157.557,154.672,156.347,2446709.4014851
2016-03-11,157.71,158.946,157.614,158.916,2611226.4408254
2016-03-14,158.39,159.11,158.114,158.649,1653516.8893215
2016-03-15,157.815,158.43,157.586,158.43,1551106.7092466
2016-03-16,157.958,159.733,157.949,159.416,3160790.1512511
2016-03-17,159.292,160.833,158.936,160.414,2267734.9084603
2016-03-18,160.922,161.295,160.556,161.017,3070313.9685893
2016-03-21,160.805,161.439,160.556,161.247,1787441.5852929
2016-03-22,160.538,161.669,160.384,161.181,1771378.6751383
2016-03-23,160.805,160.941,159.924,160.146,1901411.2605895
2016-03-24,159.149,160.05,158.936,160.03,2182556.0019232
2016-03-28,160.424,160.585,159.723,160.146,1479914.7814958
2016-03-29,159.791,161.669,159.464,161.669,1868254.7768672
2016-03-30,162.511,162.974,161.997,162.359,2220815.7299939
2016-03-31,162.225,162.618,161.746,161.948,3501496.3887653
2016-04-01,160.979,163.174,160.73,163.021,3459523.9774085
2016-04-04,162.992,163.126,162.215,162.511,1464482.9962044
2016-04-05,161.257,161.669,160.633,160.843,2022722.8479312
2016-04-06,160.97,162.675,160.72,162.618,2161018.4747733
2016-04-07,161.639,161.918,159.99,160.693,3059619.2709074
2016-04-08,161.737,162.167,160.623,161.132,2379276.0570106
2016-04-11,161.709,162.341,160.663,160.71,1576855.5604836
2016-04-12,160.883,162.521,160.489,162.263,1852245.0689739
2016-04-13,163.116,163.941,162.964,163.883,2294937.9548367
2016-04-14,163.932,164.323,163.587,163.863,3742403.5297297
2016-04-15,163.893,163.941,163.403,163.7,2397772.7098196
2016-04-18,163.204,164.891,163.086,164.891,2730216.9491248
2016-04-19,165.253,165.59,164.612,165.378,1901297.553796
2016-04-20,165.447,166.174,164.985,165.522,1905461.9347116
2016-04-21,165.522,165.627,164.381,164.583,2111952.4285904
2016-04-22,164.314,164.891,163.806,164.631,2169559.0024676
2016-04-25,164.112,164.371,163.53,164.361,2754716.0688145
2016-04-26,164.688,165.072,164.181,164.602,1989901.2255
2016-04-27,164.239,165.321,163.893,164.966,2295489.7978989
2016-04-28,164.248,165.291,163.086,163.481,1832033.4256275
2016-04-29,162.887,163.184,161.525,162.589,3242761.2743926
2016-05-02,163.049,164,162.658,163.834,1906602.1321917
2016-05-03,162.733,162.926,161.728,162.444,2733365.2711696
2016-05-04,161.478,162.167,161.036,161.496,2420325.2526586
2016-05-05,161.987,162.263,161.132,161.458,1873697.0552331
